"","state_ut","year","death_remanded","death_not_remanded","state_pca","district_pca","type","sc_order1","committee1","gdp","religion2","head_trans"
"282","ARUNACHAL PRADESH ",2009,0,0,1,0,"go",1,1,7474,1,0.090909091
"283","ASSAM",2009,7,0,1,1,"act",1,1,95975,1,0.444444444
"284","BIHAR ",2009,0,0,0,1,"act",1,1,162923,1,0.375
"285","CHHATTISGARH ",2009,1,1,1,0,"act",1,1,99364,1,1.05
"286","GOA",2009,0,0,1,0,"go",1,1,29126,1,0
"287","GUJARAT ",2009,2,4,1,1,"act",1,1,431262,1,0.038461538
"288","HARYANA ",2009,3,0,1,0,"act",1,1,223600,1,0.578947368
"289","HIMACHAL PRADESH ",2009,1,0,0,1,"act",1,1,48189,1,0.666666667
"290","JAMMU & KASHMIR ",2009,0,0,0,0,"0",1,1,48385,0,0.85
"291","JHARKHAND",2009,0,0,1,1,"go",1,1,100621,1,0.772727273
"292","KARNATAKA ",2009,0,1,0,0,"0",1,1,337559,1,0.222222222
"293","KERALA ",2009,0,0,1,1,"act",1,1,231999,1,0.823529412
"294","MADHYA PRADESH",2009,1,9,0,0,"0",1,1,227557,1,0.770833333
"295","MAHARASHTRA",2009,0,18,0,0,"0",1,1,855751,1,0.272727273
"296","MANIPUR ",2009,0,0,1,1,"go",1,1,8254,1,1
"297","MEGHALAYA ",2009,0,1,0,0,"0",1,1,12709,1,0.428571429
"298","MIZORAM ",2009,0,1,0,0,"0",1,1,5260,1,0
"299","NAGALAND ",2009,0,0,1,0,"go",1,1,10527,1,1.272727273
"300","ORISSA ",2009,0,2,1,0,"go",1,1,162946,1,0.40625
"301","PUNJAB ",2009,0,4,1,1,"act",1,1,197500,0,6
"302","RAJASTHAN ",2009,1,2,1,1,"act",1,1,265825,1,0
"303","SIKKIM ",2009,0,0,1,0,"act",1,1,6133,1,0
"304","TAMIL NADU ",2009,0,5,0,0,"0",1,1,479733,1,0.966666667
"305","TRIPURA ",2009,0,0,1,0,"act",1,1,15403,1,0
"306","UTTAR PRADESH ",2009,0,6,0,0,"0",1,1,523394,1,8.711111111
"307","UTTARAKHAND ",2009,0,0,1,0,"act",1,1,70730,1,0.153846154
"308","WEST BENGAL ",2009,4,2,0,0,"0",1,1,398880,1,0.666666667
"309","Z A & N ISLANDS",2009,0,0,0,0,"0",1,1,4120,1,0
"310","Z CHANDIGARH ",2009,0,1,0,0,"0",1,1,17577,1,0
"311","Z D & N HAVELI",2009,1,0,0,0,"0",1,1,10149.250132663,1,0
"312","Z DAMAN & DIU",2009,0,0,0,0,"0",1,1,17755.1660973763,1,0
"313","Z DELHI ",2009,0,0,0,0,"0",1,1,217619,1,0
"314","Z LAKSHADWEEP ",2009,0,0,0,0,"0",1,1,120502.374727489,0,0
"315","Z PUDUCHERRY ",2009,0,0,0,0,"0",1,1,12304,1,0
"316","ANDHRA PRADESH",2010,5,4,0,0,"0",1,1,319864,1,0.454545455
"317","ARUNACHAL PRADESH ",2010,1,0,1,0,"go",1,1,9021,1,0
"318","ASSAM",2010,3,0,1,1,"act",1,1,112688,1,0.888888889
"319","BIHAR ",2010,0,0,0,1,"act",1,1,203555,1,0.475
"320","CHHATTISGARH ",2010,0,0,1,0,"act",1,1,119420,1,1.05
"321","GOA",2010,0,0,1,0,"go",1,1,33605,1,0
"322","GUJARAT ",2010,3,3,1,1,"act",1,1,521519,1,0
"323","HARYANA ",2010,0,0,1,0,"act",1,1,260621,1,0.578947368
"324","HIMACHAL PRADESH ",2010,1,0,0,1,"act",1,1,57452,1,0.75
"325","JAMMU & KASHMIR ",2010,0,2,0,0,"0",1,1,58073,0,0.2
"326","JHARKHAND",2010,0,0,1,1,"go",1,1,127281,1,0.545454545
"327","KARNATAKA ",2010,1,0,0,0,"0",1,1,410703,1,0.851851852
"328","KERALA ",2010,0,1,1,1,"act",1,1,263773,1,0.352941176
"329","MADHYA PRADESH",2010,0,2,0,1,"go",1,1,263396,1,0.208333333
"330","MAHARASHTRA",2010,5,18,0,0,"0",1,1,1049150,1,0.454545455
"331","MANIPUR ",2010,0,0,1,1,"go",1,1,9137,1,0
"332","MEGHALAYA ",2010,0,0,0,0,"0",1,1,14583,1,0.285714286
"333","MIZORAM ",2010,0,0,0,0,"0",1,1,6388,1,0
"334","NAGALAND ",2010,1,1,1,0,"go",1,1,11759,1,0.545454545
"335","ORISSA ",2010,1,0,1,0,"go",1,1,197530,1,0.25
"336","PUNJAB ",2010,0,2,1,1,"act",1,1,226204,0,5.333333333
"337","RAJASTHAN ",2010,1,0,1,1,"act",1,1,338348,1,0
"338","SIKKIM ",2010,0,0,1,0,"act",1,1,7412,1,0
"339","TAMIL NADU ",2010,1,1,0,0,"0",1,1,584896,1,1.9
"340","TRIPURA ",2010,1,0,1,0,"act",1,1,17868,1,0
"341","UTTAR PRADESH ",2010,0,9,0,0,"0",1,1,600286,1,3.511111111
"342","UTTARAKHAND ",2010,0,0,1,0,"act",1,1,83969,1,0.230769231
"343","WEST BENGAL ",2010,1,2,1,0,"go",1,1,460959,1,0.166666667
"344","Z A & N ISLANDS",2010,0,0,1,0,"go",1,1,4343,1,0
"345","Z CHANDIGARH ",2010,0,0,1,0,"go",1,1,20014,1,0
"346","Z D & N HAVELI",2010,0,0,1,0,"go",1,1,10407.5819164982,1,0
"347","Z DAMAN & DIU",2010,0,0,1,0,"go",1,1,12837.1340905626,1,0
"348","Z DELHI ",2010,0,0,0,0,"go",1,1,252753,1,0
"349","Z LAKSHADWEEP ",2010,0,0,1,0,"go",1,1,186727.533971579,0,0
"350","Z PUDUCHERRY ",2010,0,0,1,0,"go",1,1,13092,1,0
"351","ANDHRA PRADESH",2011,11,6,0,0,"0",1,1,362245,1,0.454545455
"352","ARUNACHAL PRADESH ",2011,1,0,1,0,"go",1,1,10775,0,0.454545455
"353","ASSAM",2011,0,0,1,1,"act",1,1,125903,1,0.703703704
"354","BIHAR ",2011,1,0,0,1,"act",1,1,243269,1,0.425
"355","CHHATTISGARH ",2011,1,0,1,0,"act",1,1,144112,1,1
"356","GOA",2011,1,1,1,0,"go",1,1,43255,1,1
"357","GUJARAT ",2011,1,7,1,1,"act",1,1,598786,1,0.615384615
"358","HARYANA ",2011,0,0,1,0,"act",1,1,298688,1,0
"359","HIMACHAL PRADESH ",2011,2,0,0,1,"act",1,1,64957,1,0.166666667
"360","JAMMU & KASHMIR ",2011,1,0,0,0,"0",1,1,68185,0,0.65
"361","JHARKHAND",2011,1,0,1,1,"go",1,1,135618,1,0.636363636
"362","KARNATAKA ",2011,0,0,0,0,"0",1,1,455212,1,0.185185185
"363","KERALA ",2011,0,0,1,1,"act",1,1,312677,1,0
"364","MADHYA PRADESH",2011,4,4,0,1,"go",1,1,305158,1,0.1875
"365","MAHARASHTRA",2011,3,32,0,0,"0",1,1,1175419,1,0.757575758
"366","MANIPUR ",2011,0,0,1,1,"go",1,1,11084,1,0
"367","MEGHALAYA ",2011,0,0,1,0,"act",1,1,17199,1,0
"368","MIZORAM ",2011,0,1,1,1,"act",1,1,6890,1,0
"369","NAGALAND ",2011,0,0,1,0,"go",1,1,13859,1,0.272727273
"370","ORISSA ",2011,0,1,1,0,"go",1,1,220589,1,0.40625
"371","PUNJAB ",2011,0,5,1,1,"act",1,1,256374,0,7
"372","RAJASTHAN ",2011,1,1,1,1,"act",1,1,414179,1,0.361111111
"373","SIKKIM ",2011,0,0,1,0,"act",1,1,8907,1,0
"374","TAMIL NADU ",2011,0,6,0,0,"0",1,1,667202,1,4.133333333
"375","TRIPURA ",2011,0,0,1,0,"act",1,1,19974,1,0
"376","UTTAR PRADESH ",2011,0,9,0,0,"0",1,1,685496,1,1.39486138423264
"377","UTTARAKHAND ",2011,1,0,1,0,"act",1,1,97858,1,1.076923077
"378","WEST BENGAL ",2011,0,1,1,0,"go",1,1,528316,1,0.444444444
"379","Z A & N ISLANDS",2011,0,0,1,0,"go",1,1,4994,1,0
"380","Z CHANDIGARH ",2011,0,0,1,0,"go",1,1,22826,1,0
"381","Z D & N HAVELI",2011,0,0,1,0,"go",1,1,126199.416133662,1,0
"382","Z DAMAN & DIU",2011,0,0,1,0,"go",1,1,13211.906171973,1,0
"383","Z DELHI ",2011,0,0,1,0,"go",1,1,296957,1,0.111111111
"384","Z LAKSHADWEEP ",2011,0,0,1,0,"go",1,1,28681.4052299584,0,0
"385","Z PUDUCHERRY ",2011,0,1,1,0,"go",1,1,14661,1,0
"386","ANDHRA PRADESH",2012,5,6,0,0,"0",1,1,410068,1,0.363636364
"387","ARUNACHAL PRADESH ",2012,2,0,1,0,"go",1,1,11836,0,1
"388","ASSAM",2012,11,0,1,1,"act",1,1,138401,1,0.481481481
"389","BIHAR ",2012,0,2,0,1,"act",1,1,293616,1,0.3
"390","CHHATTISGARH ",2012,2,0,1,0,"act",1,1,165641,1,0.7
"391","GOA",2012,1,0,1,0,"go",1,1,42407,1,1
"392","GUJARAT ",2012,1,18,1,1,"act",1,1,658540,1,0.807692308
"393","HARYANA ",2012,1,0,1,0,"act",1,1,341351,1,1.210526316
"394","HIMACHAL PRADESH ",2012,1,0,0,1,"act",1,1,73710,1,0.916666667
"395","JAMMU & KASHMIR ",2012,0,1,0,0,"0",1,1,77558,0,0.5
"396","JHARKHAND",2012,2,0,1,1,"go",1,1,151655,1,0.227272727
"397","KARNATAKA ",2012,1,0,1,1,"act",1,1,519109,1,0.185185185
"398","KERALA ",2012,0,0,1,1,"act",1,1,347841,1,0
"399","MADHYA PRADESH",2012,3,1,0,1,"go",1,1,361270,1,0.229166667
"400","MAHARASHTRA",2012,4,20,0,0,"0",1,1,1323768,1,1.121212121
"401","MANIPUR ",2012,0,0,1,1,"go",1,1,12697,1,0
"402","MEGHALAYA ",2012,0,0,1,0,"act",1,1,19009,1,0.571428571
"403","MIZORAM ",2012,0,0,1,1,"act",1,1,8363,1,0
"404","NAGALAND ",2012,0,0,1,0,"go",1,1,15676,1,0.272727273
"405","ORISSA ",2012,3,0,1,0,"go",1,1,251220,1,0.28125
"406","PUNJAB ",2012,1,2,1,1,"act",1,1,285165,0,10.66666667
"407","RAJASTHAN ",2012,0,1,1,1,"act",1,1,470178,1,0.472222222
"408","SIKKIM ",2012,0,0,1,0,"act",1,1,10473,1,0
"409","TAMIL NADU ",2012,0,7,0,0,"0",1,1,744859,1,0.9
"410","TRIPURA ",2012,0,0,1,0,"act",1,1,22697,1,1
"411","UTTAR PRADESH ",2012,0,12,0,0,"0",1,1,780399,1,2.244444444
"412","UTTARAKHAND ",2012,0,0,1,0,"act",1,1,108250,1,0.692307692
"413","WEST BENGAL ",2012,0,1,1,0,"go",1,1,603311,1,0.277777778
"414","Z A & N ISLANDS",2012,0,0,1,0,"go",1,1,5633,1,0
"415","Z CHANDIGARH ",2012,0,0,1,0,"go",1,1,25046,1,0
"416","Z D & N HAVELI",2012,0,0,1,0,"go",1,1,43616.3537873283,1,0
"417","Z DAMAN & DIU",2012,0,0,1,0,"go",1,1,123880.594471722,1,0
"418","Z DELHI ",2012,0,0,1,0,"go",1,1,348221,1,0
"419","Z LAKSHADWEEP ",2012,0,0,1,0,"go",1,1,16270.4086084586,0,0
"420","Z PUDUCHERRY ",2012,0,0,1,0,"go",1,1,16795,1,0
"421","ANDHRA PRADESH",2013,3,3,1,1,"go",1,1,464184,1,0.409090909
"422","ARUNACHAL PRADESH ",2013,2,0,1,0,"go",1,1,13545,0,1.636363636
"423","ASSAM",2013,4,0,1,1,"act",1,1,159460,1,0.185185185
"424","BIHAR ",2013,0,0,0,1,"act",1,1,343663,1,0.425
"425","CHHATTISGARH ",2013,1,1,1,0,"act",1,1,185682,1,1.45
"426","GOA",2013,0,0,1,0,"go",1,1,48897,1,0
"427","GUJARAT ",2013,0,13,1,1,"act",1,1,765638,1,0.192307692
"428","HARYANA ",2013,0,1,1,0,"act",1,1,388917,1,0.736842105
"429","HIMACHAL PRADESH ",2013,1,0,0,1,"act",1,1,82585,1,0.833333333
"430","JAMMU & KASHMIR ",2013,0,0,0,0,"0",1,1,87319,0,0.2
"431","JHARKHAND",2013,0,0,1,1,"go",1,1,172773,1,1.136363636
"432","KARNATAKA ",2013,0,0,1,1,"act",1,1,582754,1,0.185185185
"433","KERALA ",2013,6,0,1,1,"act",1,1,396282,1,0.529411765
"434","MADHYA PRADESH",2013,0,5,0,1,"go",1,1,434730,1,0.75
"435","MAHARASHTRA",2013,1,34,0,0,"0",1,1,1476233,1,0
"436","MANIPUR ",2013,0,1,1,1,"go",1,1,14324,1,0
"437","MEGHALAYA ",2013,2,0,1,0,"act",1,1,21922,1,0.428571429
"438","MIZORAM ",2013,0,1,1,1,"act",1,1,10297,1,0
"439","NAGALAND ",2013,0,0,1,0,"go",1,1,17749,1,0
"440","ORISSA ",2013,0,1,1,0,"go",1,1,272980,1,0.15625
"441","PUNJAB ",2013,0,1,1,1,"act",1,1,317054,0,8.666666667
"442","RAJASTHAN ",2013,0,1,1,1,"act",1,1,517615,1,1.527777778
"443","SIKKIM ",2013,0,0,1,0,"act",1,1,12377,1,0
"444","TAMIL NADU ",2013,0,15,1,1,"act",1,1,854238,1,1.2
"445","TRIPURA ",2013,0,0,1,0,"act",1,1,26810,1,0
"446","UTTAR PRADESH ",2013,1,14,0,0,"0",1,1,862746,1,4.133333333
"447","UTTARAKHAND ",2013,0,0,1,0,"act",1,1,122897,1,0.615384615
"448","WEST BENGAL ",2013,0,6,1,0,"go",1,1,706561,1,0.388888889
"449","Z A & N ISLANDS",2013,0,0,1,0,"go",1,1,6150,1,0
"450","Z CHANDIGARH ",2013,0,0,1,0,"go",1,1,29076,1,0
"451","Z D & N HAVELI",2013,0,0,1,0,"go",1,1,42965.2056924997,1,0
"452","Z DAMAN & DIU",2013,0,0,1,0,"go",1,1,471780.79662809,1,0
"453","Z DELHI ",2013,0,0,1,0,"go",1,1,404576,1,0
"454","Z LAKSHADWEEP ",2013,0,0,1,0,"go",1,1,6416.03528647699,0,0
"455","Z PUDUCHERRY ",2013,0,0,1,0,"go",1,1,21077,1,0
"456","ANDHRA PRADESH",2014,16,2,1,1,"go",1,1,524976,1,0.666666667
"457","ARUNACHAL PRADESH ",2014,0,1,1,0,"go",1,1,17959,0,0.818181818
"458","ASSAM",2014,0,0,1,1,"act",1,1,195723,1,0.407407407
"459","BIHAR ",2014,1,0,0,1,"act",1,1,342951,1,0.7
"460","CHHATTISGARH ",2014,0,1,1,0,"act",1,1,221118,1,0.4
"461","GOA",2014,0,0,1,0,"go",1,1,47814,1,0
"462","GUJARAT ",2014,1,7,1,1,"act",1,1,921773,1,0.384615385
"463","HARYANA ",2014,0,2,1,0,"act",1,1,437145,1,1.473684211
"464","HIMACHAL PRADESH ",2014,0,0,0,1,"act",1,1,103772,1,0.833333333
"465","JAMMU & KASHMIR ",2014,0,0,0,0,"0",1,1,98370,0,0.4
"466","JHARKHAND",2014,1,1,1,1,"go",1,1,218525,1,1
"467","KARNATAKA ",2014,0,2,1,1,"act",1,1,913923,1,0.444444444
"468","KERALA ",2014,1,2,1,1,"act",1,1,512564,1,0.647058824
"469","MADHYA PRADESH",2014,1,2,0,1,"go",1,1,479939,1,0.5
"470","MAHARASHTRA",2014,4,17,1,1,"act",1,1,1779138,1,0.848484848
"471","MANIPUR ",2014,1,0,1,1,"go",1,1,18129,1,0.111111111
"472","MEGHALAYA ",2014,2,0,1,0,"act",1,1,23235,1,0.714285714
"473","MIZORAM ",2014,0,0,1,1,"act",1,1,13509,1,0
"474","NAGALAND ",2014,0,0,1,0,"go",1,1,18401,1,0
"475","ORISSA ",2014,0,1,1,0,"go",1,1,314250,1,0.28125
"476","PUNJAB ",2014,0,1,1,1,"act",1,1,355102,0,10.33333333
"477","RAJASTHAN ",2014,0,2,1,1,"act",1,1,615642,1,0.75
"478","SIKKIM ",2014,0,0,1,0,"act",1,1,15407,1,0
"479","TAMIL NADU ",2014,0,7,1,1,"act",1,1,1072678,1,0.7
"480","TELANGANA",2014,2,2,0,0,"0",0,0,505849,1,0.1
"481","TRIPURA ",2014,0,0,1,0,"act",1,1,29533,1,0.5
"482","UTTAR PRADESH ",2014,0,8,0,0,"0",1,1,1011790,1,4.066666667
"483","UTTARAKHAND ",2014,0,0,1,0,"act",1,1,161439,1,1
"484","WEST BENGAL ",2014,1,3,1,0,"go",1,1,718082,1,1
"485","Z A & N ISLANDS",2014,0,0,1,0,"go",1,1,5477,1,0
"486","Z CHANDIGARH ",2014,0,0,1,0,"go",1,1,26549,1,0
"487","Z D & N HAVELI",2014,0,0,1,0,"go",1,1,33329.8480855509,1,0
"488","Z DAMAN & DIU",2014,0,0,1,0,"go",1,1,2476.61115401129,1,0
"489","Z DELHI ",2014,1,0,1,0,"go",1,1,494803,1,0
"490","Z LAKSHADWEEP ",2014,0,0,1,0,"go",1,1,14048.0152062017,0,0
"491","Z PUDUCHERRY ",2014,0,0,1,0,"go",1,1,22574,1,0
"492","ANDHRA PRADESH",2015,3,5,1,1,"go",1,1,604229,1,0.166666667
"493","ARUNACHAL PRADESH ",2015,1,0,1,0,"go",1,1,18509,0,0.909090909
"494","ASSAM",2015,6,1,1,1,"act",1,1,227959,1,0.444444444
"495","BIHAR ",2015,1,1,0,1,"act",1,1,371602,1,0.8
"496","CHHATTISGARH ",2015,0,4,1,0,"act",1,1,227383,1,0.4
"497","GOA",2015,1,0,1,0,"go",1,1,55054,1,0
"498","GUJARAT ",2015,2,7,1,1,"act",1,1,1029010,1,0.307692308
"499","HARYANA ",2015,1,2,1,0,"act",1,1,495249,1,0.894736842
"500","HIMACHAL PRADESH ",2015,1,0,0,1,"act",1,1,114239,1,0.583333333
"501","JAMMU & KASHMIR ",2015,0,0,0,0,"0",1,1,117168,0,0.85
"502","JHARKHAND",2015,0,2,1,1,"go",1,1,206613,1,0.772727273
"503","KARNATAKA ",2015,0,2,1,1,"act",1,1,1045168,1,0.222222222
"504","KERALA ",2015,0,0,1,1,"act",1,1,561994,1,0.294117647
"505","MADHYA PRADESH",2015,3,4,0,1,"go",1,1,541189,1,0.395833333
"506","MAHARASHTRA",2015,5,14,1,1,"act",1,1,1966147,1,0.787878788
"507","MANIPUR ",2015,0,0,1,1,"go",1,1,19531,1,0.111111111
"508","MEGHALAYA ",2015,1,0,1,0,"act",1,1,25117,1,0.142857143
"509","MIZORAM ",2015,0,0,1,1,"act",1,1,15139,1,0
"510","NAGALAND ",2015,0,0,1,0,"go",1,1,19524,1,0
"511","ORISSA ",2015,0,3,1,0,"go",1,1,328550,1,0.15625
"512","PUNJAB ",2015,0,3,1,1,"act",1,1,390087,0,6.666666667
"513","RAJASTHAN ",2015,2,1,1,1,"act",1,1,681485,1,0.888888889
"514","SIKKIM ",2015,0,0,1,0,"act",1,1,18034,1,0
"515","TAMIL NADU ",2015,0,3,1,1,"act",1,1,1176500,1,0.6
"516","TELANGANA",2015,0,4,0,0,"0",0,0,577902,1,0.5
"517","TRIPURA ",2015,0,1,1,0,"act",1,1,35938,1,0.75
"518","UTTAR PRADESH ",2015,1,8,0,0,"0",1,1,1137210,1,4.044444444
"519","UTTARAKHAND ",2015,0,0,1,0,"act",1,1,177163,1,1.153846154
"520","WEST BENGAL ",2015,2,1,1,0,"go",1,1,797300,1,0.944444444
"521","Z A & N ISLANDS",2015,0,0,1,0,"go",1,1,6032,1,0
"522","Z CHANDIGARH ",2015,0,0,1,0,"go",1,1,29280,1,0
"523","Z D & N HAVELI",2015,0,0,1,0,"go",1,1,25500.785910241,1,0
"524","Z DAMAN & DIU",2015,0,0,1,0,"go",1,1,133313.810265478,1,0
"525","Z DELHI ",2015,0,1,1,0,"go",1,1,550804,1,0
"526","Z LAKSHADWEEP ",2015,0,0,1,0,"go",1,1,12373.2812016178,0,0
"527","Z PUDUCHERRY ",2015,0,0,1,0,"go",1,1,26617,1,0
"528","ANDHRA PRADESH",2016,6,0,1,1,"go",1,1,697508,1,0.5
"529","ARUNACHAL PRADESH ",2016,0,0,1,0,"go",1,1,19627,0,0.636363636
"530","ASSAM",2016,2,0,1,1,"act",1,1,254478,1,0.666666667
"531","BIHAR ",2016,1,1,0,1,"act",1,1,422316,1,0.3
"532","CHHATTISGARH ",2016,1,3,1,0,"act",1,1,254722,1,0.25
"533","GOA",2016,0,1,1,0,"go",1,1,63460,1,0
"534","GUJARAT ",2016,2,9,1,1,"act",1,1,1153327,1,0.576923077
"535","HARYANA ",2016,2,1,1,0,"act",1,1,556325,1,0.789473684
"536","HIMACHAL PRADESH ",2016,1,0,0,1,"act",1,1,125634,1,0.583333333
"537","JAMMU & KASHMIR ",2016,0,0,0,0,"0",1,1,125379,0,0.45
"538","JHARKHAND",2016,1,1,1,1,"go",1,1,236250,1,0.272727273
"539","KARNATAKA ",2016,0,1,1,1,"act",1,1,1209136,1,0.518518519
"540","KERALA ",2016,0,2,1,1,"act",1,1,634871,1,0.352941176
"541","MADHYA PRADESH",2016,6,5,0,1,"go",1,1,648849,1,0.583333333
"542","MAHARASHTRA",2016,4,12,1,1,"act",1,1,2188532,1,0.181818182
"543","MANIPUR ",2016,0,0,1,1,"go",1,1,21294,1,0.222222222
"544","MEGHALAYA ",2016,0,0,1,0,"act",1,1,27439,1,0
"545","MIZORAM ",2016,1,2,1,1,"act",1,1,17192,1,0
"546","NAGALAND ",2016,1,1,1,0,"go",1,1,21722,1,0.090909091
"547","ORISSA ",2016,0,0,1,0,"go",1,1,393808,1,0.34375
"548","PUNJAB ",2016,0,4,1,1,"act",1,1,426988,0,11
"549","RAJASTHAN ",2016,1,2,1,1,"act",1,1,758809,1,1
"550","SIKKIM ",2016,0,0,1,0,"act",1,1,20687,1,0
"551","TAMIL NADU ",2016,2,3,1,1,"act",1,1,1302639,1,1.1
"552","TELANGANA",2016,0,0,0,0,"0",1,1,659033,1,0
"553","TRIPURA ",2016,0,0,1,0,"act",1,1,39612,1,0.5
"554","UTTAR PRADESH ",2016,0,9,0,0,"0",1,1,1248374,1,0.577777778
"555","UTTARAKHAND ",2016,0,0,1,0,"act",1,1,195125,1,1.230769231
"556","WEST BENGAL ",2016,1,2,1,0,"go",1,1,872527,1,0.666666667
"557","Z A & N ISLANDS",2016,0,0,1,0,"go",1,1,6836,1,0
"558","Z CHANDIGARH ",2016,0,0,1,0,"go",1,1,32741,1,0
"559","Z D & N HAVELI",2016,0,0,1,0,"go",1,1,12422.3123103831,1,0
"560","Z DAMAN & DIU",2016,0,0,1,0,"go",1,1,9479.85851732995,1,0
"561","Z DELHI ",2016,0,1,1,0,"go",1,1,615605,1,0
"562","Z LAKSHADWEEP ",2016,0,0,1,0,"go",1,1,14390.8938930345,0,0
"563","Z PUDUCHERRY ",2016,0,0,1,0,"go",1,1,29573,1,0
